slug,title,matched_condition,matched_presentation,match_basis,match_method,match_confidence,requires_manual_review,coverage_status,categories,source_file
is-abdominal-pain-appendicitis,Abdominal Pain - Appendicitis,Appendicitis,,condition,exact,0.95,false,covered-needs-refresh,Gastrointestinal tract,extracted-illness-scripts-2026\is-abdominal-pain-appendicitis.html
is-ac-joint-disorder,AC Joint Disorder,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-ac-joint-disorder.html
is-ace-inhibitor-induced-cough,ACE-Inhibitor Induced Cough,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-ace-inhibitor-induced-cough.html
is-achalasia,Achalasia,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-achalasia.html
is-achilles-tendinopathy,Achilles Tendinopathy,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-achilles-tendinopathy.html
is-achilles-tendon-rupture,Achilles Tendon Rupture,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-achilles-tendon-rupture.html
is-acoustic-neuroma,Acoustic Neuroma (Vestibular Schwannoma),Vestibular schwannoma (acoustic neuroma),,condition,fuzzy:1.60,0.65,true,covered-needs-refresh,Brain and spinal cord,extracted-illness-scripts-2026\is-acoustic-neuroma.html
is-acute-abdomen,Acute Abdomen,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-acute-abdomen.html
is-acute-coronary-syndrome-old,Acute Coronary Syndrome (ACS),,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-acute-coronary-syndrome-old.html
is-acute-coronary-syndrome,Acute Coronary Syndrome (ACS),Acute coronary syndromes,,condition,exact,0.95,false,covered-needs-refresh,Heart and vasculature,extracted-illness-scripts-2026\is-acute-coronary-syndrome.html
is-acute-gastrointestinal-bleeding,Acute Gastrointestinal Bleeding,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-acute-gastrointestinal-bleeding.html
is-acute-glaucoma,Acute Glaucoma,Acute glaucoma,,condition,exact,0.95,false,covered-needs-refresh,Eye,extracted-illness-scripts-2026\is-acute-glaucoma.html
is-acute-limb-ischaemia,Acute Limb Ischaemia,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-acute-limb-ischaemia.html
