slug,title,matched_condition,matched_presentation,match_basis,match_method,categories,source_file
is-abdominal-pain-appendicitis,Abdominal Pain - Appendicitis,Appendicitis,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-abdominal-pain-appendicitis.html
is-ac-joint-disorder,AC Joint Disorder,,,unmatched,unmatched,,extracted-illness-scripts\is-ac-joint-disorder.html
is-ace-inhibitor-induced-cough,ACE-Inhibitor Induced Cough,,,unmatched,unmatched,,extracted-illness-scripts\is-ace-inhibitor-induced-cough.html
is-achalasia,Achalasia,,,unmatched,unmatched,,extracted-illness-scripts\is-achalasia.html
is-achilles-tendinopathy,Achilles Tendinopathy,,,unmatched,unmatched,,extracted-illness-scripts\is-achilles-tendinopathy.html
is-achilles-tendon-rupture,Achilles Tendon Rupture,,,unmatched,unmatched,,extracted-illness-scripts\is-achilles-tendon-rupture.html
is-acoustic-neuroma,Acoustic Neuroma (Vestibular Schwannoma),Vestibular schwannoma (acoustic neuroma),,condition,fuzzy:1.60,Brain and spinal cord,extracted-illness-scripts\is-acoustic-neuroma.html
is-acute-abdomen,Acute Abdomen,,,unmatched,unmatched,,extracted-illness-scripts\is-acute-abdomen.html
is-acute-coronary-syndrome-old,Acute Coronary Syndrome (ACS),,,unmatched,unmatched,,extracted-illness-scripts\is-acute-coronary-syndrome-old.html
is-acute-coronary-syndrome,Acute Coronary Syndrome (ACS),Acute coronary syndromes,,condition,exact,Heart and vasculature,extracted-illness-scripts\is-acute-coronary-syndrome.html
is-acute-gastrointestinal-bleeding,Acute Gastrointestinal Bleeding,,,unmatched,unmatched,,extracted-illness-scripts\is-acute-gastrointestinal-bleeding.html
is-acute-glaucoma,Acute Glaucoma,Acute glaucoma,,condition,exact,Eye,extracted-illness-scripts\is-acute-glaucoma.html
is-acute-limb-ischaemia,Acute Limb Ischaemia,,,unmatched,unmatched,,extracted-illness-scripts\is-acute-limb-ischaemia.html
is-acute-pancreatitis,Acute Pancreatitis,Acute pancreatitis,,condition,exact,"Liver, pancreas, biliary system",extracted-illness-scripts\is-acute-pancreatitis.html
is-acute-ulcerative-gingivitis,Acute Ulcerative Gingivitis (AUG),,,unmatched,unmatched,,extracted-illness-scripts\is-acute-ulcerative-gingivitis.html
is-acute-urinary-retention,Acute Urinary Retention (AUR),Urinary retention/ obstructive uropathy,,condition,fuzzy:1.12,Kidneys and urinary tract,extracted-illness-scripts\is-acute-urinary-retention.html
is-acute-viral-myositis,Acute Viral Myositis,,,unmatched,unmatched,,extracted-illness-scripts\is-acute-viral-myositis.html
is-addisons-disease,Addison's Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-addisons-disease.html
